year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,GEORGIA,GA,3,False,False,A DREW FERGUSON IV,REPUBLICAN,213524,310581
2022,GEORGIA,GA,3,False,False,VAL ALMONORD,DEMOCRAT,97057,310581
2022,GEORGIA,GA,4,False,False,JONATHAN CHAVEZ,REPUBLICAN,59302,275634
2022,GEORGIA,GA,4,False,False,"HENRY C “HANK” JOHNSON, JR",DEMOCRAT,216332,275634
2022,GEORGIA,GA,5,False,False,CHRISTIAN ZIMM,REPUBLICAN,51769,295456
2022,GEORGIA,GA,5,False,False,NIKEMA WILLIAMS,DEMOCRAT,243687,295456
2022,GEORGIA,GA,6,False,False,RICH MCCORMICK,REPUBLICAN,206886,332498
2022,GEORGIA,GA,6,False,False,BOB CHRISTIAN,DEMOCRAT,125612,332498
2022,GEORGIA,GA,7,False,False,MARK GONSALVES,REPUBLICAN,91962,235039
2022,GEORGIA,GA,7,False,False,LUCY MCBATH,DEMOCRAT,143063,235039
2022,GEORGIA,GA,8,False,False,AUSTIN SCOTT,REPUBLICAN,178700,260586
2022,GEORGIA,GA,8,False,False,DARRIUS BUTLER,DEMOCRAT,81886,260586
2022,GEORGIA,GA,9,False,False,ANDREW S CLYDE,REPUBLICAN,212820,294138
2022,GEORGIA,GA,9,False,False,MICHAEL “MIKE” FORD,DEMOCRAT,81318,294138
2022,GEORGIA,GA,10,False,False,MIKE COLLINS,REPUBLICAN,198523,307630
2022,GEORGIA,GA,10,False,False,TABITHA JOHNSON-GREEN,DEMOCRAT,109107,307630
2022,GEORGIA,GA,11,False,False,BARRY LOUDERMILK,REPUBLICAN,190086,303657
2022,GEORGIA,GA,11,False,False,ANTONIO DAZA,DEMOCRAT,113571,303657
2022,GEORGIA,GA,12,False,False,RICK W ALLEN,REPUBLICAN,158047,265195
2022,GEORGIA,GA,12,False,False,ELIZABETH “LIZ” JOHNSON,DEMOCRAT,107148,265195
2022,GEORGIA,GA,13,False,False,CAESAR GONZALES,REPUBLICAN,48228,264616
2022,GEORGIA,GA,13,False,False,DAVID SCOTT,DEMOCRAT,216388,264616
2022,GEORGIA,GA,14,False,False,MARJORIE TAYLOR GREENE,REPUBLICAN,170162,258351
2022,GEORGIA,GA,14,False,False,MARCUS FLOWERS,DEMOCRAT,88189,258351
2022,ILLINOIS,IL,1,False,False,ERIC CARLSON,REPUBLICAN,78258,237425
2022,ILLINOIS,IL,1,False,False,JONATHAN L JACKSON,DEMOCRAT,159142,237425
2022,ILLINOIS,IL,2,False,False,THOMAS LYNCH,REPUBLICAN,68761,209175
2022,ILLINOIS,IL,2,False,False,ROBIN L KELLY,DEMOCRAT,140414,209175
2022,ILLINOIS,IL,3,False,False,JUSTIN BURAU,REPUBLICAN,55995,177759
2022,ILLINOIS,IL,3,False,False,DELIA RAMIREZ,DEMOCRAT,121764,177759
2022,ILLINOIS,IL,4,False,False,JAMES FALAKOS,REPUBLICAN,37352,133047
2022,ILLINOIS,IL,4,False,False,JESÚS G “CHUY” GARCÍA,DEMOCRAT,91036,133047
2022,ILLINOIS,IL,4,False,False,EDWARD HERSHEY,WORKING CLASS,4605,133047
2022,ILLINOIS,IL,5,False,False,TOMMY HANSON,REPUBLICAN,79112,274550
2022,ILLINOIS,IL,5,False,False,MIKE QUIGLEY,DEMOCRAT,190999,274550
2022,ILLINOIS,IL,5,False,False,JERICO MATIAS CRUZ,INDEPENDENT,4439,274550
2022,ILLINOIS,IL,6,False,False,KEITH PEKAU,REPUBLICAN,126351,276859
2022,ILLINOIS,IL,6,False,False,SEAN CASTEN,DEMOCRAT,150496,276859
2022,ILLINOIS,IL,7,False,False,DANNY K DAVIS,DEMOCRAT,167650,167746
2022,ILLINOIS,IL,8,False,False,CHRIS DARGIS,REPUBLICAN,89335,207215
2022,ILLINOIS,IL,8,False,False,RAJA KRISHNAMOORTHI,DEMOCRAT,117880,207215
2022,ILLINOIS,IL,9,False,False,MAXWELL “MAX” RICE,REPUBLICAN,70915,250530
2022,ILLINOIS,IL,9,False,False,JANICE D SCHAKOWSKY,DEMOCRAT,179615,250530
2022,ILLINOIS,IL,10,False,False,JOSEPH SEVERINO,REPUBLICAN,89599,242165
2022,ILLINOIS,IL,10,False,False,BRADLEY SCOTT SCHNEIDER,DEMOCRAT,152566,242165
