race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
PA_16_2018,PA_16,2018,262396,GEORGE J KELLY JR,Republican,I,RONALD A DINICOLA,Democrat,C,4.28,3294021.2,1755514.26,8.0,-8.6,1.8763853276817017,4.88
PA_17_2016,PA_17,2016,293164,MATT CARTWRIGHT,Democrat,I,MATT CONNOLLY,Republican,C,7.61,861672.0,31056.78,-4.0,1.1,27.745052771085735,4.71
PA_17_2018,PA_17,2018,325579,CONOR JAMES LAMB,Democrat,I,KEITH ROTHFUS,Republican,C,12.51,8898568.71,3775394.78,3.0,-8.6,2.3569902562613603,6.91
PA_17_2020,PA_17,2020,434537,CONOR J LAMB,Democrat,I,RICHARD SEAN PARNELL,Republican,C,2.29,3528796.6,3788168.77,3.0,-3.1,0.9315309887843249,2.19
PA_3_2012,PA_3,2012,302514,MIKE KELLY,Republican,I,MISSA EATON,Democrat,C,13.85,,243534.68,5.0,-1.1,,9.95
PA_3_2014,PA_3,2014,187790,MIKE KELLY,Republican,I,DAN LAVALLEE,Democrat,C,21.26,,407605.25,8.0,5.7,,7.56
PA_6_2014,PA_6,2014,212544,RYAN COSTELLO,Republican,O,MANAN TRIVEDI,Democrat,O,12.58,1674282.63,943660.51,2.0,5.7,1.7742425504273776,4.88
PA_6_2018,PA_6,2018,301828,CHRISTINA JAMPOLER HOULAHAN,Democrat,O,GREGORY MICHAEL MCCAULEY SR,Republican,O,17.75,3402393.59,215002.51,-2.0,-8.6,15.824901718589237,7.15
PA_6_2020,PA_6,2020,403966,CHRISSY J HOULAHAN,Democrat,I,JOHN WILLIAM EMMONS,Republican,C,12.11,1419800.16,801516.01,-2.0,-3.1,1.7713933873884813,7.01
PA_8_2016,PA_8,2016,380818,BRIAN FITZPATRICK,Republican,O,STEVE SANTARSIERO,Democrat,O,8.85,2033130.72,2833967.38,1.0,1.1,0.7174150042616229,6.75
PA_8_2018,PA_8,2018,248166,MATTHEW ALTON CARTWRIGHT,Democrat,I,JOHN ROBERT CHRIN,Republican,C,9.28,2563832.07,2985347.94,1.0,-8.6,0.8588051113398862,1.68
PA_8_2020,PA_8,2020,343787,MATTHEW ALTON CARTWRIGHT,Democrat,I,JAMES ROCCO BOGNET,Republican,C,3.55,4214642.61,1407261.66,1.0,-3.1,2.9949246325662,1.45
RI_1_2012,RI_1,2012,205115,DAVID N CICILLINE,Democrat,I,BRENDAN P DOHERTY,Republican,C,12.13,2426394.01,1477749.18,-14.0,-1.1,1.6419525335145169,-2.97
RI_1_2014,RI_1,2014,146353,DAVID N CICILLINE,Democrat,I,COMICK BRENDAN LYNCH,Republican,C,19.26,1282281.36,12852.6,-15.0,5.7,99.76824611362682,9.96
SC_1_2016,SC_1,2016,325170,MARK SANFORD,Republican,I,DIMITRI CHERNY,Democrat,C,21.72,165469.81,26238.77,11.0,1.1,6.306309708877359,9.62
SC_1_2018,SC_1,2018,287433,JOE CUNNINGHAM,Democrat,I,KATIE ARRINGTON,Republican,C,1.39,2410274.65,1674899.95,10.0,-8.6,1.4390558970402978,2.79
SC_1_2020,SC_1,2020,427111,NANCY MACE,Republican,C,JOE CUNNINGHAM,Democrat,I,1.27,5813666.36,7138095.12,10.0,-3.1,0.8144562747154874,-5.63
SC_2_2016,SC_2,2016,304996,JOE WILSON,Republican,I,ARIK BJORN,Democrat,C,24.36,744980.15,69903.87,16.0,1.1,10.65720896425334,7.26
SC_2_2020,SC_2,2020,364215,JOE WILSON,Republican,I,ADAIR FORD BOROUGHS,Democrat,C,13.07,1762180.03,2535073.49,12.0,-3.1,0.695119899660187,4.17
SC_5_2012,SC_5,2012,278003,MICK MULVANEY,Republican,I,JOYCE KNOTT,Democrat,C,11.11,763829.67,32718.83,9.0,-1.1,23.345262345872392,3.21
SC_5_2014,SC_5,2014,175145,MICK MULVANEY,Republican,I,TOM ADAMS,Democrat,C,17.75,1136134.23,51446.36,9.0,5.7,22.083860354746186,3.05
SC_7_2012,SC_7,2012,275738,TOM RICE,Republican,I,GLORIA BROMELL TINUBU,Democrat,C,11.13,1367012.5,637043.15,7.0,-1.1,2.14587112348669,5.23
SC_7_2014,SC_7,2014,171524,TOM RICE,Republican,I,GLORIA BROMELL-TINUBU,Democrat,C,19.97,876373.93,238051.99,7.0,5.7,3.68143920998098,7.27
TN_4_2012,TN_4,2012,230590,SCOTT DESJARLAIS,Republican,I,ERIC STEWART,Democrat,C,11.51,1266553.7,700575.49,13.0,-1.1,1.8078761219579633,-0.39
TN_4_2014,TN_4,2014,145418,SCOTT DES JARLAIS,Republican,I,LENDRA SHERRELL,Democrat,C,23.01,643369.09,1051656.59,18.0,5.7,0.6117672785181709,-0.69
TX_10_2016,TX_10,2016,312600,MICHAEL T MCCAUL,Republican,I,TAWANA W CADIEN,Democrat,C,18.89,1730835.84,7186.34,11.0,1.1,240.85081418357606,6.79
